objectid,parentid,title,description,item information,postcard_type,creator,date,subject,location,publisher,publisher location,source,date is approximate,rights,rightsstatement,original_format,type,format,language,latitude,longitude,identifier,display_template,filename,object_location,image_small,image_thumb
nwpostcards1138,,"Snowstorm Mine, Mullan, Idaho.","Postcard of the Snowstorm Mine in Mullan, Idaho.",,picture postcard,Barnard's Studio,1910,mine buildings; mines (extracting complexes); buildings; trees; mountains; picture postcards,"Mullan, Idaho",Spokane Post Card Co.,"Spokane, WA","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.46805,-115.792172,pg_9_09_09a,multiple,,,/objects/small/pg_9_09_09a_sm.jpg,/objects/thumbs/pg_9_09_09a_th.jpg
nwpostcards1139,nwpostcards1138,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_09a,image,pg_9_09_09a.jpg,/objects/pg_9_09_09a.jpg,/objects/small/pg_9_09_09a_sm.jpg,/objects/thumbs/pg_9_09_09a_th.jpg
nwpostcards1140,nwpostcards1138,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_09a_b,image,pg_9_09_09a_b.jpg,/objects/pg_9_09_09a_b.jpg,/objects/small/pg_9_09_09a_b_sm.jpg,/objects/thumbs/pg_9_09_09a_b_th.jpg
nwpostcards1153,,"Mammoth and Standard Mills. Wallace, Idaho.","Postcard of the Mammoth and Standard Mills near Wallace, Idaho.",,picture postcard,Barnard's Studio,1907,smelters (metalworking plants); mine buildings; mines (extracting complexes); buildings; trees; mountains; picture postcards,"Wallace, Idaho",Spokane Post Card Co.,"Spokane, WA","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.519005,-115.850489,pg_9_09_11a,multiple,,,/objects/small/pg_9_09_11a_sm.jpg,/objects/thumbs/pg_9_09_11a_th.jpg
nwpostcards1154,nwpostcards1153,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_11a,image,pg_9_09_11a.jpg,/objects/pg_9_09_11a.jpg,/objects/small/pg_9_09_11a_sm.jpg,/objects/thumbs/pg_9_09_11a_th.jpg
nwpostcards1155,nwpostcards1153,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_11a_b,image,pg_9_09_11a_b.jpg,/objects/pg_9_09_11a_b.jpg,/objects/small/pg_9_09_11a_b_sm.jpg,/objects/thumbs/pg_9_09_11a_b_th.jpg
nwpostcards1156,,"St. Joe River, Idaho",Postcard of the St. Joe River in Idaho. | The St. Joe River is navigable a distance of 40 miles from Lake Coeur d'Alene to St. Joe. For perfect reflections and shadow scenery this river is unsurpassed. Daily excursions to St. Joe River via C. d'A. & S. electric line and Red Collar steamers.,,picture postcard,,1920,rivers; trees; mountains; photographic postcards,"St. Joe River, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.298703,-116.267331,pg_9_06_08f,multiple,,,/objects/small/pg_9_06_08f_sm.jpg,/objects/thumbs/pg_9_06_08f_th.jpg
nwpostcards1157,nwpostcards1156,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_08f,image,pg_9_06_08f.jpg,/objects/pg_9_06_08f.jpg,/objects/small/pg_9_06_08f_sm.jpg,/objects/thumbs/pg_9_06_08f_th.jpg
nwpostcards1158,nwpostcards1156,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_08f_b,image,pg_9_06_08f_b.jpg,/objects/pg_9_06_08f_b.jpg,/objects/small/pg_9_06_08f_b_sm.jpg,/objects/thumbs/pg_9_06_08f_b_th.jpg
nwpostcards1165,,Hercules Mine.,"Postcard of the Hercules Mine near Burke, Idaho.",,picture postcard,,1910,smelters (metalworking plants); mine buildings; mines (extracting complexes); buildings; trees; mountains; picture postcards,"Burke, Idaho",Barnard's Studio,"Wallace, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.541205,-115.809831,pg_9_09_13a,multiple,,,/objects/small/pg_9_09_13a_sm.jpg,/objects/thumbs/pg_9_09_13a_th.jpg
nwpostcards1166,nwpostcards1165,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_13a,image,pg_9_09_13a.jpg,/objects/pg_9_09_13a.jpg,/objects/small/pg_9_09_13a_sm.jpg,/objects/thumbs/pg_9_09_13a_th.jpg
nwpostcards1167,nwpostcards1165,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_13a_b,image,pg_9_09_13a_b.jpg,/objects/pg_9_09_13a_b.jpg,/objects/small/pg_9_09_13a_b_sm.jpg,/objects/thumbs/pg_9_09_13a_b_th.jpg
nwpostcards1168,,"Log Rolling Contest, Payette River, Idaho.",Postcard of a Log Rolling Contest on the Payette River in Idaho.,,photographic postcard,Geo. L. Stevens,1910,lakes; trees; rivers; buildings; men; women; photographic postcards,"Payette River, Idaho",Idaho View Co.,"Caldwell, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,image/jpeg,eng,44.071862,-116.940458,pg_9_06_03apg_9_06_03a,image,pg_9_06_03a.jpg,/objects/pg_9_06_03a.jpg,/objects/small/pg_9_06_03a_sm.jpg,/objects/thumbs/pg_9_06_03a_th.jpg
nwpostcards1169,,Unidentified dredge.,Postcard of a dredge in Idaho.,,photographic postcard,,1910,dredgers (watercraft); mining; buildings; trees; mountains; photographic postcards,"Custer, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,44.377153,-114.722683,pg_9_09_14a,multiple,,,/objects/small/pg_9_09_14a_sm.jpg,/objects/thumbs/pg_9_09_14a_th.jpg
nwpostcards1170,nwpostcards1169,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_14a,image,pg_9_09_14a.jpg,/objects/pg_9_09_14a.jpg,/objects/small/pg_9_09_14a_sm.jpg,/objects/thumbs/pg_9_09_14a_th.jpg
nwpostcards1171,nwpostcards1169,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_09_14a_b,image,pg_9_09_14a_b.jpg,/objects/pg_9_09_14a_b.jpg,/objects/small/pg_9_09_14a_b_sm.jpg,/objects/thumbs/pg_9_09_14a_b_th.jpg
nwpostcards1189,,"Lewiston Commercial Fleet, Lewiston, Idaho. Steamboats.","Postcard of the Lewiston Commercial Fleet in Lewiston, Idaho.",,photographic postcard,,1908,rivers; boats; buildings; houses; towns; trees; photographic postcards,"Lewiston, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,image/jpeg,eng,46.403066,-117.037897,pg_9_06_04b,image,pg_9_06_04b.jpg,/objects/pg_9_06_04b.jpg,/objects/small/pg_9_06_04b_sm.jpg,/objects/thumbs/pg_9_06_04b_th.jpg
nwpostcards1195,,"Northern Pacific rotary snow plow cutting through snow slide on Canyon creek near Mace, Idaho.","Postcard of railroad tracks after a snow slide on Canyon Creek near Mace, Idaho.",,picture postcard,,1894,railroads; snow; avalanches; natural disasters; mountains; snow; picture postcards,"Mace, Idaho",E.C. Kropp Co.,"Milwaukee, WI","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.502707,-115.879805,pg_9_10_03,multiple,,,/objects/small/pg_9_10_03_sm.jpg,/objects/thumbs/pg_9_10_03_th.jpg
nwpostcards1196,nwpostcards1195,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_10_03,image,pg_9_10_03.jpg,/objects/pg_9_10_03.jpg,/objects/small/pg_9_10_03_sm.jpg,/objects/thumbs/pg_9_10_03_th.jpg
nwpostcards1197,nwpostcards1195,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_10_03_b,image,pg_9_10_03_b.jpg,/objects/pg_9_10_03_b.jpg,/objects/small/pg_9_10_03_b_sm.jpg,/objects/thumbs/pg_9_10_03_b_th.jpg
nwpostcards1208,,Wreck on S bridge caused by snow slide on Northern Pacific cut off.,Postcard of a wreck on a railroad trestle caused by a snow slide.,,photographic postcard,Barnard's Studio,1903,railroads; trestles (bridges); trees; mountains; snow; photographic postcards,"Burke, Idaho",Barnard's Studio,"Wallace, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,47.516809,-115.844418,pg_9_10_06,multiple,,,/objects/small/pg_9_10_06_sm.jpg,/objects/thumbs/pg_9_10_06_th.jpg
nwpostcards1209,nwpostcards1208,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_10_06,image,pg_9_10_06.jpg,/objects/pg_9_10_06.jpg,/objects/small/pg_9_10_06_sm.jpg,/objects/thumbs/pg_9_10_06_th.jpg
nwpostcards1210,nwpostcards1208,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_10_06_b,image,pg_9_10_06_b.jpg,/objects/pg_9_10_06_b.jpg,/objects/small/pg_9_10_06_b_sm.jpg,/objects/thumbs/pg_9_10_06_b_th.jpg
nwpostcards1227,,"Square Lake. Sawtooth Range, Idaho","Postcard of Square Lake in the Sawtooth Range, Idaho.",,photographic postcard,,1910,mountains; lakes; trees; photographic postcards,"Sawtooth Mountains, Idaho",Faust's Art Store,"Boise, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,44.183558,-115.052483,pg_9_06_17a,multiple,,,/objects/small/pg_9_06_17a_sm.jpg,/objects/thumbs/pg_9_06_17a_th.jpg
nwpostcards1228,nwpostcards1227,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_17a,image,pg_9_06_17a.jpg,/objects/pg_9_06_17a.jpg,/objects/small/pg_9_06_17a_sm.jpg,/objects/thumbs/pg_9_06_17a_th.jpg
nwpostcards1229,nwpostcards1227,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_17a_b,image,pg_9_06_17a_b.jpg,/objects/pg_9_06_17a_b.jpg,/objects/small/pg_9_06_17a_b_sm.jpg,/objects/thumbs/pg_9_06_17a_b_th.jpg
nwpostcards1233,,"Twin Falls, Idaho","Postcard of Twin Falls, Idaho.",,photographic postcard,,1910,waterfalls (natural bodies of water); men; rivers; canyons; photographic postcards,"Twin Falls, Idaho",Faust's Art Store,"Boise, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,42.590551,-114.359276,pg_9_06_18a,multiple,,,/objects/small/pg_9_06_18a_sm.jpg,/objects/thumbs/pg_9_06_18a_th.jpg
nwpostcards1234,nwpostcards1233,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_18a,image,pg_9_06_18a.jpg,/objects/pg_9_06_18a.jpg,/objects/small/pg_9_06_18a_sm.jpg,/objects/thumbs/pg_9_06_18a_th.jpg
nwpostcards1235,nwpostcards1233,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_18a_b,image,pg_9_06_18a_b.jpg,/objects/pg_9_06_18a_b.jpg,/objects/small/pg_9_06_18a_b_sm.jpg,/objects/thumbs/pg_9_06_18a_b_th.jpg
nwpostcards1239,,"Thousand Springs, Idaho.","Postcard of the Thousand Springs near Hagerman, Idaho.",,picture postcard,,1920,waterfalls (natural bodies of water); picture postcards,"Thousand Springs; Hagerman, Idaho",Wesley Andrews,"Baker, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,42.740496,-114.841607,pg_9_06_09a,multiple,,,/objects/small/pg_9_06_09a_sm.jpg,/objects/thumbs/pg_9_06_09a_th.jpg
nwpostcards1240,nwpostcards1239,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_09a,image,pg_9_06_09a.jpg,/objects/pg_9_06_09a.jpg,/objects/small/pg_9_06_09a_sm.jpg,/objects/thumbs/pg_9_06_09a_th.jpg
nwpostcards1241,nwpostcards1239,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_06_09a_b,image,pg_9_06_09a_b.jpg,/objects/pg_9_06_09a_b.jpg,/objects/small/pg_9_06_09a_b_sm.jpg,/objects/thumbs/pg_9_06_09a_b_th.jpg
nwpostcards1361,,School of Mines Building. University of Idaho.,"Postcard of the School of Mines building, which is no longer standing, on the University of Idaho campus in Moscow, Idaho.","written message; postage applied; Postmark: 5/5/1908, Moscow, ID; Destination: Chelsea, MA",photographic postcard,,1908,universities (institutions); universities (buildings); buildings; campuses; trees; photographic postcards,"Moscow, Idaho",R.R. Sherfey,"Moscow, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, color postcard",Image;StillImage,multiple,eng,46.725126,-117.010234,pg_9_12_01bt,multiple,,,/objects/small/pg_9_12_01bt_sm.jpg,/objects/thumbs/pg_9_12_01bt_th.jpg
nwpostcards1362,nwpostcards1361,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bt,image,pg_9_12_01bt.jpg,/objects/pg_9_12_01bt.jpg,/objects/small/pg_9_12_01bt_sm.jpg,/objects/thumbs/pg_9_12_01bt_th.jpg
nwpostcards1363,nwpostcards1361,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bt_b,image,pg_9_12_01bt_b.jpg,/objects/pg_9_12_01bt_b.jpg,/objects/small/pg_9_12_01bt_b_sm.jpg,/objects/thumbs/pg_9_12_01bt_b_th.jpg
nwpostcards1373,,Big bonfire and rally. WSC vs. UofI. University of Idaho.,Postcard of a bonfire during a rally for a football game in 1918.,,photographic postcard,,1918,universities (institutions); bonfire firing; photographic postcards,"Moscow, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.726963,-117.015747,pg_9_12_01bi,multiple,,,/objects/small/pg_9_12_01bi_sm.jpg,/objects/thumbs/pg_9_12_01bi_th.jpg
nwpostcards1374,nwpostcards1373,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bi,image,pg_9_12_01bi.jpg,/objects/pg_9_12_01bi.jpg,/objects/small/pg_9_12_01bi_sm.jpg,/objects/thumbs/pg_9_12_01bi_th.jpg
nwpostcards1375,nwpostcards1373,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bi_b,image,pg_9_12_01bi_b.jpg,/objects/pg_9_12_01bi_b.jpg,/objects/small/pg_9_12_01bi_b_sm.jpg,/objects/thumbs/pg_9_12_01bi_b_th.jpg
nwpostcards1391,,First Administration Building. University of Idaho.,"Postcard of the first Administration building, which was destroyed in 1906, on the University of Idaho campus in Moscow, Idaho. | The first University of Idaho Administration Building in 1900. The building was destroyed by fire in 1906.",,photographic postcard,,1900,universities (institutions); universities (buildings); buildings; campuses; trees; photographic postcards,"Moscow, Idaho","Industrial Litho, Inc.","Eugene, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"4x6, black and white postcard",Image;StillImage,multiple,eng,46.725426,-117.009293,pg_9_12_01bq,multiple,,,/objects/small/pg_9_12_01bq_sm.jpg,/objects/thumbs/pg_9_12_01bq_th.jpg
nwpostcards1392,nwpostcards1391,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bq,image,pg_9_12_01bq.jpg,/objects/pg_9_12_01bq.jpg,/objects/small/pg_9_12_01bq_sm.jpg,/objects/thumbs/pg_9_12_01bq_th.jpg
nwpostcards1393,nwpostcards1391,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bq_b,image,pg_9_12_01bq_b.jpg,/objects/pg_9_12_01bq_b.jpg,/objects/small/pg_9_12_01bq_b_sm.jpg,/objects/thumbs/pg_9_12_01bq_b_th.jpg
nwpostcards1397,,Women's Rifle Team. Company C. University of Idaho.,"Postcard of student members of the women's drill team on the University of Idaho campus in Moscow, Idaho. | University of Idaho's Company C (the ""C"" stood for calico). This women's drill team earned Idaho ROTC its first ""excellent"" rating in 1897.",,photographic postcard,,1897,universities (institutions); universities (buildings); buildings; campuses; trees; women; students; photographic postcards,"Moscow, Idaho","Industrial Litho, Inc.","Eugene, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"4x6, black and white postcard",Image;StillImage,multiple,eng,46.728908,-117.012404,pg_9_12_01bs,multiple,,,/objects/small/pg_9_12_01bs_sm.jpg,/objects/thumbs/pg_9_12_01bs_th.jpg
nwpostcards1398,nwpostcards1397,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bs,image,pg_9_12_01bs.jpg,/objects/pg_9_12_01bs.jpg,/objects/small/pg_9_12_01bs_sm.jpg,/objects/thumbs/pg_9_12_01bs_th.jpg
nwpostcards1399,nwpostcards1397,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01bs_b,image,pg_9_12_01bs_b.jpg,/objects/pg_9_12_01bs_b.jpg,/objects/small/pg_9_12_01bs_b_sm.jpg,/objects/thumbs/pg_9_12_01bs_b_th.jpg
nwpostcards1420,,"Volcanic craters. Craters of the Moon, Idaho.",Postcard of volcanic craters at the Craters of the Moon National Monument in Idaho.,,photographic postcard,,1910,national monuments; extrusive rock; mountains; snow; photographic postcards,"Arco, Idaho; Craters of the Moon National Monument",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,43.441531,-113.558187,pg_9_11_01a,image,pg_9_11_01a.jpg,/objects/pg_9_11_01a.jpg,/objects/small/pg_9_11_01a_sm.jpg,/objects/thumbs/pg_9_11_01a_th.jpg
nwpostcards1426,,"University of Idaho, Moscow, Idaho.","Postcard of various buildings on the University of Idaho campus in Moscow, Idaho, including the Gymnasium, Mining Mills, New Administration Building, Girls' Dormitory, and Agricultural College.",,photographic postcard,,1908,universities (institutions); universities (buildings); buildings; campuses; trees; dormitories (buildings); photographic postcards,"Moscow, Idaho",R.R. Sherfey,"Moscow, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.5x3.5, color postcard",Image;StillImage,image/jpeg,eng,46.726073,-117.009744,pg_9_12_01j,image,pg_9_12_01j.jpg,/objects/pg_9_12_01j.jpg,/objects/small/pg_9_12_01j_sm.jpg,/objects/thumbs/pg_9_12_01j_th.jpg
nwpostcards1427,,"Administration Building. University of Idaho. Moscow, Idaho.","Postcard of the Administration Building on the University of Idaho campus in Moscow, Idaho.",,picture postcard,,1907,universities (institutions); universities (buildings); buildings; campuses; trees; towers; picture postcards,"Moscow, Idaho",R. Hodgins,"Moscow, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"5.5x3.5, color postcard",Image;StillImage,image/jpeg,eng,46.726054,-117.009754,pg_9_12_01k,image,pg_9_12_01k.jpg,/objects/pg_9_12_01k.jpg,/objects/small/pg_9_12_01k_sm.jpg,/objects/thumbs/pg_9_12_01k_th.jpg
nwpostcards1428,,Ridenbaugh Hall. Girls Dormitory. University of Idaho.,"Postcard of a women's dormitory (now Ridenbaugh Hall) at the University of Idaho campus in Moscow, Idaho.",,photographic postcard,,1920,universities (institutions); universities (buildings); buildings; campuses; trees; dormitories (buildings); photographic postcards,"Moscow, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.724845,-117.009596,pg_9_12_01m,multiple,,,/objects/small/pg_9_12_01m_sm.jpg,/objects/thumbs/pg_9_12_01m_th.jpg
nwpostcards1429,nwpostcards1428,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01m,image,pg_9_12_01m.jpg,/objects/pg_9_12_01m.jpg,/objects/small/pg_9_12_01m_sm.jpg,/objects/thumbs/pg_9_12_01m_th.jpg
nwpostcards1430,nwpostcards1428,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01m_b,image,pg_9_12_01m_b.jpg,/objects/pg_9_12_01m_b.jpg,/objects/small/pg_9_12_01m_b_sm.jpg,/objects/thumbs/pg_9_12_01m_b_th.jpg
nwpostcards1434,,Administration Building and campus. University of Idaho.,"Postcard of the Administration Building on the University of Idaho campus in Moscow, Idaho.",,photographic postcard,,1920,universities (institutions); universities (buildings); buildings; campuses; trees; towers; statues; water towers; photographic postcards,"Moscow, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.726025,-117.009304,pg_9_12_01l,multiple,,,/objects/small/pg_9_12_01l_sm.jpg,/objects/thumbs/pg_9_12_01l_th.jpg
nwpostcards1435,nwpostcards1434,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01l,image,pg_9_12_01l.jpg,/objects/pg_9_12_01l.jpg,/objects/small/pg_9_12_01l_sm.jpg,/objects/thumbs/pg_9_12_01l_th.jpg
nwpostcards1436,nwpostcards1434,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_12_01l_b,image,pg_9_12_01l_b.jpg,/objects/pg_9_12_01l_b.jpg,/objects/small/pg_9_12_01l_b_sm.jpg,/objects/thumbs/pg_9_12_01l_b_th.jpg
nwpostcards1501,,"The Gibraltar. Juliaetta, Idaho.","Postcard is a photograph of a large hill near Juliaetta, Idaho.",,photographic postcard,C.A. Porter,1910,mountains; hills; trees; utility poles; roads; photographic postcards,"Juliaetta, Idaho",,"Waterville, WA","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,46.581135,-116.72292,pg_9_14_01,image,pg_9_14_01.jpg,/objects/pg_9_14_01.jpg,/objects/small/pg_9_14_01_sm.jpg,/objects/thumbs/pg_9_14_01_th.jpg
